CUSTOMERID,GENDER,AGE,MARRIED,DEPENDENTS,CITY,ZIP_CODE,SENIORCITIZEN,TENURE,PHONESERVICE,MULTIPLELINES,INTERNETSERVICE,INTERNET_TYPE,ONLINESECURITY,ONLINEBACKUP,DEVICEPROTECTION,TECHSUPPORT,STREAMINGTV,STREAMINGMOVIES,STREAMING_MUSIC,UNLIMITED_DATA,CONTRACT,PAPERLESSBILLING,PAYMENTMETHOD,MONTHLYCHARGES,TOTALCHARGES,TOTAL_REVENUE,TOTAL_REFUNDS,NUMBER_OF_REFERRALS,OFFER,AVG_MONTHLY_GB_DOWNLOAD,CHURN,CHURN_CATEGORY,CHURN_REASON,CHURN_BINARY,CHURN_PROBABILITY,RISK_TIER
3143-JQEGI,Female,52,True,True,San Diego,92126,0,13,True,No,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,Month-to-month,False,Electronic check,88.35,1222.8,1454.59,0.0,1,,10.0,Yes,Competitor,Competitor made better offer,1,0.7769412671428575,High Risk
3144-AUDBS,Female,59,True,False,Calexico,92231,0,6,True,No,DSL,DSL,No,No,No,Yes,No,No,False,True,Month-to-month,True,Electronic check,49.15,270.8,312.44,0.0,1,Offer E,28.0,Yes,Competitor,Competitor had better devices,1,0.5153940634947397,Medium Risk
3144-KMTWZ,Male,40,True,False,Whittier,90606,0,71,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,No,Yes,True,False,Month-to-month,True,Bank transfer (automatic),93.25,6669.45,8645.21,0.0,8,Offer A,7.0,No,,,0,0.04778707722761855,Low Risk
3146-JTQHR,Male,23,True,False,San Bruno,94066,0,10,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Bank transfer (automatic),19.6,189.45,582.95,0.0,3,Offer D,,No,,,0,0.010571428571428572,Low Risk
3146-MSEGF,Female,71,True,True,Paramount,90723,1,72,True,Yes,DSL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Credit card (automatic),88.05,6425.65,7900.21,0.0,1,Offer A,6.0,No,,,0,0.08675003107434068,Low Risk
3148-AOIQT,Female,23,True,False,Sacramento,95837,0,69,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,True,Credit card (automatic),24.95,1718.35,4831.63,0.0,10,,,No,,,0,0.001688151049838783,Low Risk
3148-BLQJT,Male,33,False,False,Fallbrook,92028,0,1,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Mailed check,20.1,20.1,36.91,0.0,0,Offer E,,Yes,Competitor,Competitor made better offer,1,0.995,High Risk
3154-CFSZG,Male,57,True,True,Modesto,95351,0,47,True,No,Fiber optic,Fiber Optic,Yes,No,Yes,No,No,Yes,True,True,Month-to-month,False,Electronic check,90.05,4137.2,5934.95,0.0,3,,20.0,No,,,0,0.13163319584768518,Low Risk
3154-HMWUU,Male,28,True,False,Winters,95694,0,60,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,True,Bank transfer (automatic),20.5,1198.8,3076.2,0.0,9,Offer B,,No,,,0,0.007278200694796621,Low Risk
3158-MOERK,Female,57,False,False,Hayward,94545,0,2,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,Month-to-month,True,Electronic check,96.0,174.8,271.48,0.0,0,,28.0,Yes,Competitor,Competitor offered more data,1,0.986347344964847,High Risk
3160-TYXLT,Male,37,False,False,Palmdale,93552,0,53,False,No phone service,DSL,DSL,Yes,Yes,No,No,No,Yes,True,True,Month-to-month,True,Bank transfer (automatic),46.3,2546.85,2546.85,0.0,0,Offer B,24.0,No,,,0,0.10340371026320481,Low Risk
3161-GETRM,Male,61,True,True,Soledad,93960,0,34,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,No,No,Yes,True,True,Month-to-month,True,Credit card (automatic),90.05,3097.0,3778.7,0.0,10,Offer C,57.0,No,,,0,0.07127837123363676,Low Risk
3161-ONRWK,Male,35,True,True,Hydesville,95547,0,60,True,No,DSL,DSL,Yes,Yes,Yes,Yes,No,No,False,True,One year,True,Bank transfer (automatic),65.85,3928.3,6542.5,0.0,4,Offer B,30.0,No,,,0,0.008185669206430863,Low Risk
3162-KKZXO,Female,75,False,False,Citrus Heights,95610,1,55,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,Yes,False,True,One year,True,Electronic check,100.15,5409.75,7037.75,0.0,0,,3.0,No,,,0,0.2754379871944945,Low Risk
3162-ZJZFU,Male,25,True,True,Mill Creek,96061,0,53,True,No,Fiber optic,Fiber Optic,No,Yes,No,Yes,Yes,No,False,True,Month-to-month,True,Electronic check,92.55,4779.45,6068.94,0.0,5,,52.0,No,,,0,0.07471599633483061,Low Risk
3164-AALRN,Male,39,False,False,Greenwood,95635,0,5,True,No,DSL,DSL,No,No,Yes,No,Yes,Yes,True,False,One year,True,Mailed check,70.0,347.4,583.65,0.0,0,,22.0,Yes,Competitor,Competitor had better devices,1,0.6459869518996534,High Risk
3164-YAXFY,Male,56,False,False,Coulterville,95311,0,57,False,No phone service,DSL,DSL,Yes,No,Yes,No,Yes,Yes,True,True,Month-to-month,True,Electronic check,53.75,3196.0,3196.0,0.0,0,Offer B,30.0,No,,,0,0.11075083991191641,Low Risk
3165-HDOEW,Male,47,True,True,Salida,95368,0,1,True,No,DSL,DSL,No,No,No,No,No,No,False,True,Month-to-month,True,Mailed check,45.85,45.85,60.75,0.0,1,,6.0,Yes,Other,Don't know,1,0.9967541528239203,High Risk
3166-PNEOF,Female,57,False,False,Walnut Creek,94596,0,61,True,Yes,DSL,Cable,Yes,No,Yes,Yes,Yes,Yes,True,True,Two year,False,Credit card (automatic),86.45,5175.3,5450.41,0.0,0,Offer B,24.0,No,,,0,0.023208352620537918,Low Risk
3167-SNQPL,Male,71,True,True,Pine Valley,91962,1,38,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,Yes,Yes,False,True,Month-to-month,False,Electronic check,101.15,3741.85,4817.25,0.0,9,,27.0,No,,,0,0.12630970565703145,Low Risk
3170-GWYKC,Female,30,False,False,Vernalis,95385,0,60,True,No,Fiber optic,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,True,True,Month-to-month,True,Bank transfer (automatic),104.95,6236.75,7609.55,0.0,0,,48.0,No,,,0,0.28117583076678243,Low Risk
3170-NMYVV,Female,37,True,True,Compton,90222,0,50,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),20.15,930.9,2278.4,0.0,5,Offer B,,No,,,0,0.0030090769445608157,Low Risk
3173-NVMPX,Female,51,True,True,Newport Beach,92663,0,9,True,Yes,DSL,DSL,No,Yes,No,No,No,No,False,True,Month-to-month,True,Mailed check,55.3,501.2,711.44,0.0,1,,22.0,No,,,0,0.2829028677810461,Low Risk
3173-WSSUE,Female,22,True,True,Canoga Park,91304,0,71,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),19.7,1415.85,3003.41,0.0,5,,,No,,,0,6.0483870967741935e-05,Low Risk
3174-AKMAS,Female,61,True,False,Hume,93628,0,46,True,No,DSL,DSL,No,Yes,No,Yes,Yes,No,False,True,Two year,True,Credit card (automatic),64.2,3009.5,4712.42,0.0,1,,6.0,No,,,0,0.12517113949274314,Low Risk
3174-RKMOW,Male,24,True,True,Glendale,91201,0,35,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,True,True,Month-to-month,True,Electronic check,109.95,3782.4,5441.0,31.9,8,,73.0,No,,,0,0.13235827032424063,Low Risk
3177-LASXD,Female,43,False,False,Westmorland,92281,0,1,True,No,Fiber optic,Cable,No,No,No,No,No,No,False,False,Month-to-month,False,Electronic check,71.35,71.35,111.75,0.0,0,,13.0,Yes,Dissatisfaction,Poor expertise of phone support,1,0.9979048041389506,High Risk
3178-CIFOT,Female,34,False,False,Amador City,95601,0,23,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,True,Credit card (automatic),19.65,478.1,717.53,0.0,0,Offer D,,No,,,0,0.011452742458275121,Low Risk
3178-FESZO,Female,45,False,False,Clements,95227,0,1,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,Yes,Yes,True,True,Month-to-month,True,Credit card (automatic),100.25,100.25,120.48,0.0,0,Offer E,17.0,Yes,Other,Don't know,1,0.9825492107520237,High Risk
3179-GBRWV,Male,79,True,False,San Gabriel,91775,1,21,True,No,DSL,DSL,Yes,Yes,No,No,No,Yes,False,True,Month-to-month,True,Bank transfer (automatic),64.95,1339.8,2241.75,0.0,5,,30.0,No,,,0,0.07511482427580096,Low Risk
3181-MIZBN,Male,40,True,True,Jenner,95450,0,16,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Electronic check,19.75,313.4,825.24,0.0,2,,,No,,,0,0.034115420220073134,Low Risk
3181-VTHOE,Male,19,True,False,Browns Valley,95918,0,70,False,No phone service,DSL,DSL,No,Yes,Yes,Yes,No,Yes,True,False,One year,True,Bank transfer (automatic),51.05,3635.15,3755.15,0.0,10,,41.0,No,,,0,0.03299303546233702,Low Risk
3186-AJIEK,Male,44,False,False,Apple Valley,92308,0,66,True,No,Fiber optic,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),105.65,6844.5,8887.86,0.0,0,,11.0,No,,,0,0.2691965145533839,Low Risk
3186-BAXNB,Female,20,False,False,Cottonwood,96022,0,1,True,No,Fiber optic,Fiber Optic,No,Yes,No,Yes,Yes,No,True,True,Month-to-month,False,Electronic check,91.7,91.7,108.93,0.0,0,Offer E,52.0,Yes,Attitude,Attitude of service provider,1,0.9872554347826088,High Risk
3190-FZATL,Male,49,False,True,Lakeside,92040,0,14,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Mailed check,19.95,268.4,837.64,0.0,0,,,No,,,0,0.049325314793738494,Low Risk
3190-ITQXP,Female,42,True,True,Ceres,95307,0,46,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),20.25,890.35,2162.25,0.0,7,,,No,,,0,0.00034820178368565464,Low Risk
3190-XFANI,Male,42,False,True,Happy Camp,96039,0,49,True,Yes,Fiber optic,Fiber Optic,No,No,No,Yes,Yes,Yes,True,True,One year,True,Bank transfer (automatic),100.6,5069.65,5999.18,0.0,0,,3.0,Yes,Competitor,Competitor offered more data,1,0.42055235318227924,Medium Risk
3192-LNKRK,Male,63,True,True,San Joaquin,93660,0,34,True,No,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,No,False,True,Month-to-month,True,Mailed check,84.05,2909.95,3102.05,0.0,10,,26.0,No,,,0,0.09627873648684858,Low Risk
3192-NQECA,Male,26,True,False,Santa Monica,90403,0,68,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),110.0,7611.85,8617.57,0.0,4,Offer A,47.0,Yes,Competitor,Competitor had better devices,1,0.3086092869308986,Medium Risk
3194-ORPIK,Female,59,True,True,San Diego,92113,0,50,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,No,False,True,Month-to-month,True,Bank transfer (automatic),84.4,4116.15,5882.65,0.0,1,,17.0,Yes,Competitor,Competitor had better devices,1,0.6045969838671024,High Risk
3196-NVXLZ,Female,23,False,False,Orange Cove,93646,0,25,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,No,False,True,Month-to-month,True,Mailed check,84.6,2088.05,2327.3,0.0,0,Offer C,59.0,No,,,0,0.3162703277636602,Medium Risk
3197-ARFOY,Female,67,False,False,Ontario,91761,1,19,True,No,Fiber optic,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,False,False,Month-to-month,True,Mailed check,105.0,2007.25,2178.3,0.0,0,,12.0,No,,,0,0.3836054833304998,Medium Risk
3197-NNYNB,Male,47,False,False,Jolon,93928,0,65,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,True,True,Two year,False,Credit card (automatic),105.1,6631.85,8435.6,0.0,0,Offer B,30.0,No,,,0,0.15337724916109075,Low Risk
3198-VELRD,Female,47,True,True,Marina Del Rey,90292,0,3,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,Yes,True,True,Month-to-month,True,Bank transfer (automatic),84.75,264.85,379.12,0.0,1,,30.0,Yes,Competitor,Competitor had better devices,1,0.9726051261175792,High Risk
3199-NPKCN,Female,39,True,False,Menlo Park,94025,0,67,True,Yes,Fiber optic,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,True,True,One year,True,Electronic check,111.25,7511.65,9858.66,0.0,1,,23.0,No,,,0,0.21295528033328115,Low Risk
3199-XGZCY,Female,51,False,False,Granada Hills,91344,0,8,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,75.25,576.7,727.26,0.0,0,,3.0,No,,,0,0.5579503364206974,Medium Risk
3200-MNQTF,Male,38,True,False,Raisin City,93652,0,67,True,Yes,DSL,DSL,Yes,Yes,Yes,Yes,No,No,False,True,Two year,False,Credit card (automatic),70.9,4677.1,6557.12,0.0,8,,15.0,No,,,0,0.005913018754420525,Low Risk
3205-MXZRA,Male,47,False,False,Standish,96128,0,26,True,No,DSL,DSL,No,No,No,Yes,Yes,No,False,True,One year,False,Credit card (automatic),59.45,1507.0,1591.76,0.0,0,Offer C,6.0,No,,,0,0.05813032020900894,Low Risk
3207-OYBWH,Male,74,True,False,Newport Beach,92661,1,57,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,No,Yes,False,True,Month-to-month,True,Bank transfer (automatic),95.25,5427.05,8259.33,12.59,1,,21.0,Yes,Attitude,Attitude of support person,1,0.4538220836306293,Medium Risk
3208-YPIOE,Male,64,False,False,La Mesa,91942,0,39,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,False,Electronic check,75.25,3017.65,4428.28,0.0,0,Offer C,5.0,Yes,Competitor,Competitor made better offer,1,0.37306384318107705,Medium Risk
3209-ZPKFI,Male,28,True,True,Borrego Springs,92004,0,47,True,Yes,DSL,DSL,No,Yes,No,No,No,No,True,True,Month-to-month,False,Electronic check,54.25,2538.2,4382.95,0.0,1,Offer B,26.0,No,,,0,0.13883868511585118,Low Risk
3211-AAPKX,Male,26,False,False,Woodland,95776,0,20,True,Yes,Fiber optic,Fiber Optic,No,No,No,Yes,Yes,Yes,True,True,Month-to-month,True,Mailed check,98.55,2031.95,2496.35,0.0,0,,59.0,No,,,0,0.3887997388543715,Medium Risk
3211-ILJTT,Male,35,True,False,Taft,93268,0,17,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Bank transfer (automatic),70.4,1214.05,1446.61,0.0,1,,11.0,Yes,Competitor,Competitor had better devices,1,0.638014337501965,High Risk
3212-KXOCR,Male,62,False,False,Inglewood,90302,0,52,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),21.0,1107.2,2578.8,0.0,0,,,No,,,0,0.01554055927126777,Low Risk
3213-VVOLG,Male,22,True,True,Sun City,92585,0,0,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,25.35,,617.2,0.0,3,,,No,,,0,0.06024039829302987,Low Risk
3214-IYUUQ,Female,19,True,False,Pine Grove,95665,0,61,True,No,Fiber optic,Fiber Optic,Yes,Yes,No,Yes,No,Yes,True,True,One year,False,Bank transfer (automatic),93.7,5860.7,6483.51,0.0,0,,69.0,No,,,0,0.14895470997973345,Low Risk
3217-FZDMN,Female,66,False,False,Los Angeles,90001,1,8,True,No,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,Yes,False,True,Month-to-month,True,Credit card (automatic),94.45,742.95,784.63,0.0,0,Offer E,8.0,Yes,Competitor,Competitor had better devices,1,0.7021579476056702,High Risk
3219-JQRSL,Female,70,True,False,Monterey Park,91755,1,72,True,Yes,DSL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,False,True,Two year,False,Credit card (automatic),89.1,6352.4,8112.08,0.0,1,,13.0,No,,,0,0.050205793823826866,Low Risk
3221-CJMSG,Male,45,False,False,Mira Loma,91752,0,24,True,No,DSL,DSL,No,No,No,Yes,No,No,False,True,Month-to-month,True,Credit card (automatic),51.1,1269.6,1325.52,0.0,0,,2.0,No,,,0,0.14456620462735004,Low Risk
3223-DWFIO,Male,77,False,False,Forks Of Salmon,96031,1,4,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,False,Electronic check,69.35,261.65,382.09,0.0,0,,25.0,No,,,0,0.3635210774372932,Medium Risk
3223-WZWJM,Male,36,False,False,Petrolia,95558,0,26,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,Yes,True,True,Month-to-month,True,Electronic check,83.95,2254.2,2626.0,0.0,0,,20.0,Yes,Competitor,Competitor offered higher download speeds,1,0.5255734219410169,Medium Risk
3224-DFQNQ,Female,59,True,False,Carmel Valley,93924,0,66,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,No,Yes,No,No,False,True,One year,False,Electronic check,89.0,5898.6,8365.68,0.0,10,,8.0,No,,,0,0.03786422217251176,Low Risk
3227-WLKLI,Female,52,True,True,San Francisco,94112,0,65,True,Yes,DSL,Cable,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,False,Bank transfer (automatic),91.55,5963.95,6621.1,0.0,1,,26.0,No,,,0,0.028240470550006926,Low Risk
3229-USWAR,Female,40,False,False,San Francisco,94129,0,34,True,No,DSL,DSL,Yes,No,Yes,Yes,Yes,Yes,True,True,One year,True,Bank transfer (automatic),79.95,2727.3,2908.18,0.0,0,Offer C,23.0,No,,,0,0.07255380702614442,Low Risk
3230-IUALN,Female,41,True,True,Eureka,95501,0,45,True,No,DSL,Cable,Yes,No,Yes,Yes,Yes,Yes,True,True,Two year,True,Mailed check,81.0,3533.6,4704.05,0.0,10,,29.0,No,,,0,0.011713659583387168,Low Risk
3230-JCNZS,Female,43,True,True,San Francisco,94107,0,71,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,No,Yes,No,False,True,Two year,True,Credit card (automatic),99.0,7061.65,8178.48,0.0,4,Offer A,17.0,No,,,0,0.02158343531807792,Low Risk
3230-WYKIR,Male,36,False,False,San Francisco,94110,0,18,True,Yes,DSL,DSL,No,No,Yes,Yes,Yes,Yes,True,True,One year,True,Credit card (automatic),82.0,1425.45,1650.45,0.0,0,,5.0,Yes,Dissatisfaction,Product dissatisfaction,1,0.3870420134558921,Medium Risk
3235-ETOOB,Male,51,True,False,San Diego,92109,0,8,True,No,Fiber optic,Fiber Optic,Yes,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,74.5,609.9,993.18,0.0,1,,23.0,Yes,Competitor,Competitor made better offer,1,0.6558014659236676,High Risk
3237-AJGEH,Female,43,True,True,Bridgeville,95526,0,3,False,No phone service,DSL,DSL,No,No,No,Yes,No,No,False,False,Month-to-month,True,Mailed check,31.0,95.05,115.05,0.0,1,,19.0,Yes,Dissatisfaction,Poor expertise of online support,1,0.9770239693808433,High Risk
3239-TPHPZ,Female,60,True,False,Chula Vista,91910,0,12,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,True,Electronic check,20.05,264.55,748.63,0.0,10,Offer D,,No,,,0,0.00585417291668987,Low Risk
3243-ZHOHY,Female,35,False,False,Escondido,92025,0,16,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Mailed check,20.1,296.15,626.55,0.0,0,Offer D,,No,,,0,0.015780327563885574,Low Risk
3244-CQPHU,Female,77,False,False,Berkeley,94710,1,72,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,False,True,Two year,True,Bank transfer (automatic),110.1,7746.7,8718.53,44.81,0,Offer A,23.0,No,,,0,0.043934698920332256,Low Risk
3244-DCJWY,Female,27,False,False,Bakersfield,93312,0,1,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,70.25,70.25,93.25,0.0,0,Offer E,59.0,Yes,Competitor,Competitor had better devices,1,0.999959349593496,High Risk
3247-ZVOUO,Male,77,True,False,Downey,90240,1,10,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,Yes,False,True,Month-to-month,False,Electronic check,85.55,851.75,911.85,0.0,0,Offer D,27.0,Yes,Attitude,Attitude of support person,1,0.7139843116307237,High Risk
3249-VHRIP,Female,38,False,False,Fiddletown,95629,0,62,False,No phone service,DSL,Cable,No,Yes,Yes,No,No,Yes,True,True,Two year,True,Credit card (automatic),43.6,2748.7,2748.7,0.0,0,Offer B,30.0,No,,,0,0.05711332856436467,Low Risk
3249-ZPQRG,Male,28,False,False,Diamond Springs,95619,0,4,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,No,No,True,True,Month-to-month,False,Electronic check,78.45,330.05,498.29,0.0,0,Offer E,58.0,Yes,Competitor,Competitor made better offer,1,0.7491840664030016,High Risk
3251-YMVWZ,Male,34,False,False,San Andreas,95249,0,53,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Bank transfer (automatic),24.05,1301.9,3388.51,0.0,0,Offer B,,No,,,0,0.038493630039110556,Low Risk
3253-HKOKL,Female,31,True,True,Elk Grove,95758,0,52,True,No,Fiber optic,Fiber Optic,Yes,No,Yes,No,Yes,Yes,True,True,One year,False,Electronic check,100.3,5244.45,5659.93,0.0,7,,19.0,No,,,0,0.04020347589515242,Low Risk
3254-YRILK,Male,74,False,False,Dobbins,95935,1,19,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,Yes,No,False,True,Month-to-month,True,Electronic check,88.2,1775.8,2535.23,0.0,0,Offer D,9.0,Yes,Competitor,Competitor had better devices,1,0.5940994512637312,Medium Risk
3255-GRXMG,Male,58,False,True,Playa Del Rey,90293,0,18,True,No,DSL,DSL,No,No,No,No,No,No,False,False,Month-to-month,True,Credit card (automatic),45.65,747.2,1400.46,0.0,0,Offer D,28.0,No,,,0,0.23572515397053873,Low Risk
3256-EZDBI,Male,71,True,False,Greenville,95947,1,51,False,No phone service,DSL,DSL,No,Yes,No,No,No,No,False,True,Month-to-month,True,Credit card (automatic),29.45,1459.35,1459.35,0.0,1,Offer B,21.0,No,,,0,0.2794509914821333,Low Risk
3258-SANFR,Male,69,False,False,Big Oak Flat,95305,1,6,True,No,DSL,DSL,No,No,No,No,No,No,False,True,Month-to-month,False,Credit card (automatic),44.7,276.5,394.94,0.0,0,Offer E,7.0,No,,,0,0.3281571404063752,Medium Risk
3258-SYSWS,Male,75,False,False,Lakeside,92040,1,72,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,False,True,Two year,False,Bank transfer (automatic),113.8,7845.8,9622.04,0.0,0,,26.0,No,,,0,0.05313753306466331,Low Risk
3258-ZKPAI,Male,26,True,True,Sacramento,95815,0,72,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),116.6,8337.45,9843.63,26.7,7,,52.0,No,,,0,0.0066460614942391635,Low Risk
3259-FDWOY,Male,60,True,True,Elk Grove,95758,0,71,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),106.0,7723.7,11084.84,0.0,3,Offer A,12.0,Yes,Competitor,Competitor offered higher download speeds,1,0.4339119297691588,Medium Risk
3259-KNMRR,Male,72,False,False,Montrose,91020,1,57,True,Yes,DSL,DSL,No,Yes,Yes,No,Yes,Yes,False,True,Two year,True,Bank transfer (automatic),79.75,4438.2,4956.9,0.0,0,Offer B,16.0,No,,,0,0.09239059583688107,Low Risk
3259-QMXUN,Male,38,True,False,Campo Seco,95226,0,58,True,Yes,DSL,DSL,Yes,Yes,Yes,No,Yes,Yes,True,False,Two year,True,Electronic check,86.1,4890.5,6284.62,0.0,3,Offer B,2.0,No,,,0,0.07627202603434335,Low Risk
3261-CQXOL,Female,33,True,True,Concord,94521,0,71,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),25.45,1813.35,2108.0,0.0,0,Offer A,,No,,,0,0.00563650779011104,Low Risk
3262-EIDHV,Female,46,True,True,Inglewood,90304,0,72,True,Yes,DSL,DSL,Yes,No,Yes,Yes,Yes,Yes,True,True,Two year,False,Credit card (automatic),84.7,5893.9,7686.7,0.0,1,Offer A,19.0,No,,,0,0.021126896106581836,Low Risk
3266-FTKHB,Male,35,False,False,Beale Afb,95903,0,17,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,19.15,343.45,785.04,28.63,0,,,No,,,0,0.021174658857249694,Low Risk
3269-ATYWD,Male,79,False,False,San Francisco,94123,1,39,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,False,False,Month-to-month,True,Bank transfer (automatic),95.65,3759.05,5544.32,0.0,0,Offer C,23.0,Yes,Other,Don't know,1,0.5050989605407691,Medium Risk
3272-VUHPV,Female,24,True,True,Whittier,90602,0,8,True,No,DSL,Cable,No,Yes,No,Yes,No,No,False,False,Month-to-month,False,Bank transfer (automatic),56.3,401.5,686.38,0.0,10,,59.0,No,,,0,0.07561711451963238,Low Risk
3274-NSDWE,Female,37,False,False,Ivanhoe,93235,0,68,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),19.6,1441.65,3684.97,0.0,0,,,No,,,0,0.0020207231627982713,Low Risk
3275-RHRNE,Male,58,True,True,Keeler,93530,0,28,False,No phone service,DSL,DSL,No,Yes,Yes,Yes,Yes,Yes,True,True,One year,True,Credit card (automatic),60.0,1682.05,1682.05,0.0,8,,52.0,No,,,0,0.027582004102141212,Low Risk
3276-HDUEG,Female,23,False,False,Temecula,92592,0,1,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Mailed check,75.05,75.05,107.91,0.0,0,Offer E,58.0,Yes,Competitor,Competitor made better offer,1,0.997459349593496,High Risk
3279-DYZQM,Male,21,True,True,Santa Clarita,91350,0,71,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,19.45,1378.45,2180.75,0.0,6,,,No,,,0,0.018200344010827884,Low Risk
3280-MRDOF,Male,69,False,False,Los Angeles,90067,1,30,True,Yes,DSL,DSL,No,No,Yes,Yes,Yes,No,False,True,Two year,True,Credit card (automatic),69.1,2093.9,2670.42,21.08,0,,30.0,No,,,0,0.0751338109911376,Low Risk
3280-NMUVX,Male,53,True,True,Rio Vista,94571,0,34,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Credit card (automatic),19.6,678.8,1563.82,0.0,7,,,No,,,0,0.00152111054132592,Low Risk
3282-ZISZV,Male,56,False,True,South El Monte,91733,0,32,True,Yes,DSL,DSL,No,Yes,Yes,Yes,Yes,Yes,True,True,One year,False,Credit card (automatic),83.7,2633.3,3832.66,0.0,0,,15.0,No,,,0,0.13611900632025306,Low Risk
3283-WCWXT,Male,58,True,True,Los Angeles,90027,0,6,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,25.4,153.3,343.68,0.0,8,Offer E,,No,,,0,0.023722474295425663,Low Risk
